park_name,scientific_name,category,common_names,conservation_status,observations
Bryce,Abies bifolia,Vascular Plant,Rocky Mountain Alpine Fir,Least Concern,109
Great Smoky Mountains,Abies bifolia,Vascular Plant,Rocky Mountain Alpine Fir,Least Concern,72
Yellowstone,Abies bifolia,Vascular Plant,Rocky Mountain Alpine Fir,Least Concern,215
Yosemite,Abies bifolia,Vascular Plant,Rocky Mountain Alpine Fir,Least Concern,136
Bryce,Abies concolor,Vascular Plant,White Fir,Least Concern,83
Great Smoky Mountains,Abies concolor,Vascular Plant,White Fir,Least Concern,101
Yellowstone,Abies concolor,Vascular Plant,White Fir,Least Concern,241
Yosemite,Abies concolor,Vascular Plant,White Fir,Least Concern,205
Bryce,Abies fraseri,Vascular Plant,Fraser Fir,Species of Concern,109
Great Smoky Mountains,Abies fraseri,Vascular Plant,Fraser Fir,Species of Concern,81
Yellowstone,Abies fraseri,Vascular Plant,Fraser Fir,Species of Concern,218
Yosemite,Abies fraseri,Vascular Plant,Fraser Fir,Species of Concern,110
Bryce,Abietinella abietina,Nonvascular Plant,Abietinella Moss,Least Concern,101
Great Smoky Mountains,Abietinella abietina,Nonvascular Plant,Abietinella Moss,Least Concern,65
Yellowstone,Abietinella abietina,Nonvascular Plant,Abietinella Moss,Least Concern,243
Yosemite,Abietinella abietina,Nonvascular Plant,Abietinella Moss,Least Concern,183
Bryce,Abronia ammophila,Vascular Plant,Yellowstone Sand Verbena,Species of Concern,92
Great Smoky Mountains,Abronia ammophila,Vascular Plant,Yellowstone Sand Verbena,Species of Concern,72
Yellowstone,Abronia ammophila,Vascular Plant,Yellowstone Sand Verbena,Species of Concern,222
Yosemite,Abronia ammophila,Vascular Plant,Yellowstone Sand Verbena,Species of Concern,137
Bryce,Abutilon theophrasti,Vascular Plant,Velvetleaf,Least Concern,84
Great Smoky Mountains,Abutilon theophrasti,Vascular Plant,Velvetleaf,Least Concern,85
Yellowstone,Abutilon theophrasti,Vascular Plant,Velvetleaf,Least Concern,262
Yosemite,Abutilon theophrasti,Vascular Plant,Velvetleaf,Least Concern,138
Bryce,Acalypha gracilens,Vascular Plant,Slender Copperleaf,Least Concern,68
Great Smoky Mountains,Acalypha gracilens,Vascular Plant,Slender Copperleaf,Least Concern,98
Yellowstone,Acalypha gracilens,Vascular Plant,Slender Copperleaf,Least Concern,263
Yosemite,Acalypha gracilens,Vascular Plant,Slender Copperleaf,Least Concern,160
Bryce,Acalypha ostryifolia,Vascular Plant,Hornbeam-Leaved Three-Seeded Mercury,Least Concern,95
